,Address,Price,Description,Amount_Reduced,Link
95,"4953 S Kilpatrick Ave Chicago, IL 60632","$289,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/4953-S-Kilpatrick-Ave_Chicago_IL_60632_M79277-43257?from=srp-list-card
96,"8827 S May St Chicago, IL 60620","$139,900",Foreclosure,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/8827-S-May-St_Chicago_IL_60620_M70643-56452?from=srp-list-card
97,"521 W 103rd Pl Chicago, IL 60628","$314,900",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/521-W-103rd-Pl_Chicago_IL_60628_M87760-05496?from=srp-list-card
98,"1915 N Sheffield Ave Chicago, IL 60614","$650,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/1915-N-Sheffield-Ave_Chicago_IL_60614_M88012-72173?from=srp-list-card
99,"1925 N Oakley Ave Chicago, IL 60647","$360,000",Foreclosure,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/1925-N-Oakley-Ave_Chicago_IL_60647_M83656-84725?from=srp-list-card
100,"1949 W Roscoe St Unit 1C Chicago, IL 60657","$299,900",Condo for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/1949-W-Roscoe-St-C1_Chicago_IL_60657_M86939-15410?from=srp-list-card
101,"6342 S Kildare Ave Chicago, IL 60629","$290,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/6342-S-Kildare-Ave_Chicago_IL_60629_M79905-78007?from=srp-list-card
102,"6619 N Maplewood Ave Chicago, IL 60645","$499,999",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/6619-N-Maplewood-Ave_Chicago_IL_60645_M89792-09528?from=srp-list-card
103,"7037 S Laflin St Chicago, IL 60636","$259,999",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/7037-S-Laflin-St_Chicago_IL_60636_M84150-19423?from=srp-list-card
104,"5443 S Neva Ave Chicago, IL 60638","$485,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/5443-S-Neva-Ave_Chicago_IL_60638_M95879-40323?from=srp-list-card
105,"724 W 116th St Chicago, IL 60628","$279,500",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/724-W-116th-St_Chicago_IL_60628_M88668-59864?from=srp-list-card
106,"13211 S Houston Ave Chicago, IL 60633","$140,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/13211-S-Houston-Ave_Chicago_IL_60633_M82169-52161?from=srp-list-card
107,"7307 S Marshfield Ave Chicago, IL 60636","$279,900",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/7307-S-Marshfield-Ave_Chicago_IL_60636_M80186-58858?from=srp-list-card
108,"7744 S Constance Ave Chicago, IL 60649","$219,900",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/7744-S-Constance-Ave_Chicago_IL_60649_M72737-84050?from=srp-list-card
109,"4217 N Mobile Ave Chicago, IL 60634","$369,900",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/4217-N-Mobile-Ave_Chicago_IL_60634_M87587-17615?from=srp-list-card
110,"7306 S Damen Ave Chicago, IL 60636","$295,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/7306-S-Damen-Ave_Chicago_IL_60636_M87837-17285?from=srp-list-card
111,"2162 N Mulligan Ave Chicago, IL 60639","$599,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/2162-N-Mulligan-Ave_Chicago_IL_60639_M98820-74214?from=srp-list-card
112,"1747 N Linder Ave Chicago, IL 60639","$475,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/1747-N-Linder-Ave_Chicago_IL_60639_M74821-23442?from=srp-list-card
113,"2636 W 36th St Chicago, IL 60632","$435,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/2636-W-36th-St_Chicago_IL_60632_M85615-70630?from=srp-list-card
114,"3439 S Giles Ave Chicago, IL 60616","$300,000",Foreclosure,$30k,https://www.realtor.com//realestateandhomes-detail/3439-S-Giles-Ave_Chicago_IL_60616_M80656-51212?from=srp-list-card
115,"7804 S Paxton Ave Chicago, IL 60649","$339,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/7804-S-Paxton-Ave_Chicago_IL_60649_M81940-43756?from=srp-list-card
116,"1716 W Catalpa Ave Chicago, IL 60640","$1,350,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/1716-W-Catalpa-Ave_Chicago_IL_60640_M84553-54805?from=srp-list-card
117,"1654 E 92nd St Chicago, IL 60617","$315,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/1654-E-92nd-St_Chicago_IL_60617_M85806-20159?from=srp-list-card
118,"1863 S Komensky Ave Chicago, IL 60623","$429,000",Multi-family home for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/1863-S-Komensky-Ave-Apt-1_Chicago_IL_60623_M80687-22975?from=srp-list-card
119,"3600 W 115th Pl Chicago, IL 60655","$350,000",House for sale,$15k,https://www.realtor.com//realestateandhomes-detail/3600-W-115th-Pl_Chicago_IL_60655_M93631-25614?from=srp-list-card
120,"4170 W Cornelia St Chicago, IL 60641","$295,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/4170-W-Cornelia-Ave_Chicago_IL_60641_M97588-92962?from=srp-list-card
121,"9914 S Calhoun Ave Chicago, IL 60617","$193,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/9914-S-Calhoun-Ave_Chicago_IL_60617_M70346-78762?from=srp-list-card
122,"1111 N Keystone Ave Chicago, IL 60651","$399,900",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/1111-N-Keystone-Ave_Chicago_IL_60651_M85529-26857?from=srp-list-card
123,"8134 S Honore St Chicago, IL 60620","$274,999",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/8134-S-Honore-St_Chicago_IL_60620_M88699-11484?from=srp-list-card
124,"3754 W 69th St Chicago, IL 60629","$325,000",House for sale,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/3754-W-69th-St_Chicago_IL_60629_M88634-47508?from=srp-list-card
125,"2207 N Tripp Ave Chicago, IL 60639","$269,000",Contingent,Amount has not reduced,https://www.realtor.com//realestateandhomes-detail/2207-N-Tripp-Ave_Chicago_IL_60639_M71767-31644?from=srp-list-card
